date,mpg,gallons,USD,miles,ethanol,octane
2014-04-27,20.518377253814148,11.536,40.36,236.7,0,87
2014-04-27,18.454968944099377,12.88,46.39,237.7,0,87
2014-05-08,17.88398154251813,15.17,54.6,271.3,0,87
2014-05-22,18.442970073404858,14.168,47.87,261.3,10,87
2014-06-05,20.48932234740205,11.894,41.62,243.7,10,87
2014-06-09,NA,NA,NA,160,10,87
2014-07-10,16.107382550335572,15.198,51.35,244.8,10,87
2014-07-22,19.30845840931407,14.258,48.87,275.3,10,87
2014-07-25,21.69357122628151,10.593,33.78,229.8,0,87
2014-08-04,20.318868376888034,16.684,54.71,339,0,87
2014-08-13,NA,NA,NA,NA,10,87
2014-08-16,20.6428035982009,10.672,34.67,220.3,0,87
2014-08-28,16.47389107243122,8.905,28.93,146.7,10,87
2014-09-04,22.396078168020953,14.891,48.68,333.5,10,87
2014-09-05,20.06844022519042,9.059,29.43,181.8,0,87
2014-09-20,16.660450080815618,8.043,24.93,134,10,87
2014-10-03,18.38401732112981,10.161,31.49,186.8,10,87
2014-10-10,18.781551170261586,8.716,25.88,163.7,10,87
2014-10-25,18.652548289504306,17.188,50.17,320.6,10,87
2014-11-06,19.08370249475402,8.578,24.67,163.7,10,87
2014-11-09,22.206351873634684,11.902,34.22,264.3,10,87
2014-11-17,20.36572248117605,13.945,39.31,284,0,87
2014-11-24,16.34518448820485,14.879,40.46,243.2,10,87
2015-04-30,39.08611177740465,8.338,20.18,325.9,0,87
2015-05-07,16.98885282912375,7.087,18.08,120.4,10,87
2015-05-14,16.670563479074115,8.554,22.23,142.6,10,87
2015-05-26,22.984211160660475,16.594,42.46,381.4,10,87
2015-06-05,18.103021297672115,12.114,29.06,219.3,10,87
2015-06-06,23.66426499485356,10.687,28.74,252.9,10,87
2015-06-08,20.15511892450879,9.67,23.68,194.9,0,87
2015-06-08,21.018593371059016,7.422,19.36,156,10,87
2015-06-09,21.41176470588235,6.8,17.95,145.6,10,87
2015-06-12,20.656051972948504,18.779,49.93,387.9,10,87
2015-06-15,20.943989930774073,15.89,42.73,332.8,0,87
2015-06-25,19.334143706104808,14.808,39.82,286.3,10,87
2015-06-28,22.871759890859483,14.66,40.45,335.3,10,87
2015-07-02,21.021968685520083,8.239,22.07,173.2,10,87
2015-07-06,NA,14.437,38.24,NA,NA,NA
2015-07-11,NA,11.025,NA,NA,NA,NA
2015-08-04,NA,13.45,NA,NA,NA,NA
2015-10-14,18.147115850702857,16.504,40.58,299.5,NA,NA
2015-10-21,15.4561985239063,9.349,21.98,144.5,10,87
2015-11-05,15.005316321105795,15.048,33.54,225.8,10,87
2015-11-20,17.885082276773673,14.828,30.53,265.2,10,87
2015-11-20,21.37512353522519,14.166,28.32,302.8,0,87
2015-11-27,19.564176245210728,16.704,31.82,326.8,0,87
2015-11-27,20.658149438637246,12.915,25.04,266.8,10,87
2015-11-30,20.16207771919547,10.242,19.96,206.5,0,87
2015-12-07,18.052738336713997,13.311,25.28,240.3,10,87
2015-12-19,15.802710632946765,14.314,27.33,226.2,10,87
2015-12-19,22.406401829094026,6.998,13.22,156.8,10,87
2015-12-23,20.5048596112311,14.816,26.95,303.8,0,87
2015-12-27,18.521119694993477,9.967,17.23,184.6,0,87
2016-01-02,19.08769864626251,16.99,28.53,324.3,0,87
2016-01-03,21.507666098807498,14.088,25.77,303,NA,NA
2016-01-03,17.350157728706623,5.706,13.12,99,0,87
2016-01-03,18.56821329639889,11.552,26.79,214.5,0,87
2016-01-04,20.91332967635765,7.292,12.83,152.5,10,87
2016-01-16,15.065753590691472,16.501,27.38,248.6,10,87
2016-01-20,12.431941923774954,16.53,30.43,205.5,10,87
2016-01-23,15.347899872719557,9.428,15.64,144.7,10,87
2016-02-02,16.891637131438053,13.261,29.43,224,10,87
2016-02-06,14.923302243120325,12.973,20.22,193.6,10,87
2016-02-10,17.06524948331857,10.161,22.55,173.4,10,87
2016-02-13,15.415754923413566,9.14,13.43,140.9,10,87
2016-03-05,16.453627502480593,17.133,29.49,281.9,10,87
2016-03-16,17.020554914863308,14.741,28.44,250.9,10,87
2016-03-20,19.75131516021042,16.728,33.44,330.4,0,87
2016-03-20,22.239085795911077,11.201,22.17,249.1,0,87
2016-03-26,17.59175917591759,9.999,19.09,175.9,0,87
2016-04-09,15.633504687027518,9.921,18.94,155.1,10,87
2016-04-22,17.296522591838276,13.257,27.16,229.3,10,87
2016-05-11,17.875812826724466,15.686,32.14,280.4,10,87
2016-05-29,17.35115588273279,15.486,34.67,268.7,10,87
2016-06-21,15.843678160919541,10.875,24.34,172.3,10,87
2016-07-01,21.46541092050678,17.838,38.51,382.9,10,87
2016-07-10,22.455242966751918,15.64,33.77,351.2,10,89
2016-07-15,19.635171141627385,9.758,20.29,191.6,NA,87
2016-07-15,22.811030626509087,15.738,40.9,359,10,87
2016-07-16,22.578893790295215,14.735,36.51,332.7,0,87
2016-07-20,21.239678059997907,9.567,24.88,203.2,0,87
2016-07-25,23.022747510726138,12.353,33.59,284.4,0,87
2016-07-26,26.190069953932777,11.722,28.82,307,0,87
2016-07-26,24.587412587412587,7.15,17.94,175.8,0,88
2016-07-29,20.905439941584522,13.695,36.96,286.3,0,87
2016-07-31,24.24615384615385,11.375,25.92,275.8,10,87
2016-07-31,18.357039785611214,9.702,21.92,178.1,10,87
2016-08-01,19.57049628168159,13.178,31.61,257.9,10,87
2016-08-01,18.985352713395816,17.819,33.84,338.3,10,87
2016-08-01,19.80498374864572,9.23,19.34,182.8,10,87
2016-08-10,18.913395214170144,11.743,24.65,222.1,0,87
2016-08-10,23.726161369193154,10.225,21.87,242.6,10,87
2016-08-15,21.163298743855815,14.648,32.21,310,0,87
2016-08-15,21.996153456827617,9.879,20.44,217.3,0,87
2016-08-16,19.28544937569539,8.089,16.57,156,0,87
2016-09-01,15.395316485045214,17.252,37.07,265.6,10,87
2016-09-16,21.392866792758714,14.804,31.07,316.7,10,87
2016-09-18,23.938633732149746,10.364,23.31,248.1,0,87
2016-09-18,21.33435582822086,6.52,14.04,139.1,0,87
2016-09-23,19.869067103109657,12.22,26.87,242.8,0,87
2016-10-07,17.853580690205465,15.039,32.17,268.5,10,87
2016-10-16,21.59870308018456,16.038,34.31,346.4,10,87
2016-11-11,18.316715542521994,17.05,34.76,312.3,10,87
2016-11-21,20.418573250318804,13.331,26.12,272.2,10,87
2016-11-26,20.533260032985158,10.914,21.27,224.1,0,87
2016-11-26,22.519861478916276,9.818,19.63,221.1,0,87
2016-11-28,17.919010123734534,8.89,18.13,159.3,0,87
2016-12-14,14.268370237613459,17.297,38.04,246.8,10,87
2016-12-21,16.689774696707108,11.54,26.3,192.6,10,87
2016-12-21,18.804701175293825,7.998,17.54,150.4,10,87
2017-01-17,23.963629253030895,10.228,21.06,245.1,0,87
2017-02-17,17.668979696736056,7.782,17.97,137.5,10,87
2017-03-03,17.271523178807946,15.1,33.98,260.8,10,87
2017-03-17,18.21512309495897,13.648,30.01,248.6,10,87
2017-04-01,17.408942587529765,11.339,24.48,197.4,10,87
2017-04-22,16.274075565398295,14.901,35.15,242.5,10,87
2017-04-23,23.155538977993285,13.405,30.95,310.4,10,87
2017-05-12,16.790421919069818,17.373,37.68,291.7,10,87
2017-05-26,15.513959390862944,12.608,28.61,195.6,10,87
2017-06-01,19.99469812446153,15.089,33.18,301.7,10,87
2017-06-02,21.851765799256505,8.608,22.37,188.1,10,87
2017-06-02,21.036496350364963,6.85,15.47,144.1,0,87
2017-06-02,17.90822407628129,6.712,18.45,120.2,0,87
2017-06-02,22.78997241213866,8.337,25.5,190,10,87
2017-06-05,23.409734741179502,7.766,20.34,181.8,10,87
2017-06-11,20.77584662246909,11.162,28.34,231.9,10,87
2017-06-11,20.00136388434261,14.664,31.66,293.3,10,87
2017-06-11,21.874618110717343,16.366,35.66,358,10,87
2017-06-20,20.84925943621596,16.744,34.31,349.1,10,87
2017-07-02,18.63655176491456,16.913,37.19,315.2,10,87
2017-07-04,20.57714958775029,16.98,34.45,349.4,0,87
2017-07-07,23.665158371040725,13.26,29.16,313.8,0,87
2017-07-08,20.84378359011107,11.164,23.66,232.7,0,87
2017-07-11,21.710205078125,16.384,35.86,355.7,10,87
2017-07-13,24.0375,16,35.34,384.6,10,87
2017-07-15,19.663616126638633,16.172,35.56,318,10,87
2017-07-21,21.317126269956457,16.536,37.19,352.5,0,87
2017-07-21,23.699867783164386,9.076,19.96,215.1,0,87
2017-07-25,17.46513038204973,9.894,20.97,172.8,0,87
2017-07-29,20.612741956159468,15.602,35.56,321.6,10,87
2017-08-01,20.680586547656997,12.548,32.61,259.5,10,87
2017-08-01,21.5980024968789,16.821,37.83,363.3,10,87
2017-08-06,19.276489108783654,15.563,35.78,300,0,87
2017-08-08,22.53088912218364,12.383,28.47,279,0,87
2017-08-13,19.384860840276545,11.282,25.71,218.7,0,87
2017-08-17,25.795053003533567,10.188,23.42,262.8,10,87
2017-08-18,21.558730991085472,15.256,35.99,328.9,0,87
